Epoch,Loss,Train Focal Loss,Train Dice Loss,Train Accuracy,Validation Focal Loss,Validation Dice Loss,Validation Loss,Validation Accuracy
1, 0.8114498019, 0.1937444247, 0.6177053779, 0.7276603699, 0.1653771386, 0.6183352556, 0.7837123928,  0.7777361189
2, 0.6626845688, 0.1390571099, 0.5236274600, 0.7988395691, 0.1410064857, 0.5174627247, 0.6584692086,  0.8159470331
3, 0.6081728905, 0.1284611687, 0.4797117203, 0.8098197937, 0.1216655640, 0.4802426242, 0.6019081871,  0.8321620396
4, 0.5722938359, 0.1238191187, 0.4484747171, 0.8160064697, 0.1418126304, 0.4362866055, 0.5780992366,  0.8302408854
5, 0.5387690052, 0.1171506651, 0.4216183335, 0.8264617920, 0.1872409043, 0.4635051290, 0.6507460390,  0.8006853376
6, 0.5244964525, 0.1185474988, 0.4059489518, 0.8269515991, 0.1825114865, 0.4706230476, 0.6531345305,  0.7834734235
7, 0.5059232220, 0.1178106446, 0.3881125778, 0.8302017212, 0.1974744726, 0.4341187960, 0.6315932643,  0.8048299154
8, 0.4950362369, 0.1165021319, 0.3785341084, 0.8329711914, 0.2258884446, 0.4442012367, 0.6700896791,  0.7901466006
9, 0.5048024788, 0.1247370608, 0.3800654203, 0.8266990662, 0.2158703896, 0.4280284473, 0.6438988362,  0.8132789249
10, 0.4888706654, 0.1208838325, 0.3679868311, 0.8320045471, 0.2137430587, 0.4269539856, 0.6406970336,  0.8019002279
11, 0.4716155782, 0.1139653146, 0.3576502591, 0.8382812500, 0.2303716079, 0.4237788007, 0.6541504065,  0.8108956473
12, 0.4564191312, 0.1109215651, 0.3454975665, 0.8434425354, 0.2546171823, 0.4275832857, 0.6822004744,  0.8097882952
13, 0.4585833475, 0.1143433284, 0.3442400157, 0.8408287048, 0.2226377797, 0.4157915541, 0.6384293352,  0.8146013532
14, 0.4498420507, 0.1108454689, 0.3389965773, 0.8441078186, 0.2163137850, 0.4052297842, 0.6215435749,  0.8152436756
15, 0.4535076499, 0.1142245214, 0.3392831326, 0.8445480347, 0.2279786709, 0.4141979445, 0.6421766168,  0.8161388579
16, 0.4430285722, 0.1100943856, 0.3329341859, 0.8463165283, 0.2273714017, 0.4093374156, 0.6367088159,  0.8173159645
17, 0.4376903519, 0.1085307591, 0.3291595995, 0.8480125427, 0.2332945225, 0.4122986197, 0.6455931380,  0.8128371466
18, 0.4384297624, 0.1080883037, 0.3303414583, 0.8485404968, 0.2425953817, 0.4155059996, 0.6581013912,  0.8167259580
19, 0.4320696518, 0.1067795545, 0.3252900988, 0.8490570068, 0.2329301238, 0.4091020397, 0.6420321578,  0.8131713867
20, 0.4326970190, 0.1087104358, 0.3239865839, 0.8491111755, 0.2433513580, 0.4100895410, 0.6534409069,  0.8182460240
21, 0.4301590100, 0.1076142132, 0.3225447983, 0.8506095886, 0.2385889221, 0.4083731345, 0.6469620637,  0.8182198661
22, 0.4346050069, 0.1098850492, 0.3247199595, 0.8479438782, 0.2419329640, 0.4081468525, 0.6500798237,  0.8172316778
23, 0.4257679537, 0.1066311963, 0.3191367567, 0.8526107788, 0.2384330794, 0.4086581951, 0.6470912695,  0.8127005441
24, 0.4164703369, 0.1026103273, 0.3138600111, 0.8550804138, 0.2497887661, 0.4105998561, 0.6603886286,  0.8144705636
25, 0.4139294162, 0.1023204695, 0.3116089433, 0.8560592651, 0.2545051553, 0.4114435599, 0.6659487117,  0.8152611142
26, 0.4150315687, 0.1032495875, 0.3117819816, 0.8551536560, 0.2427173065, 0.4039259610, 0.6466432668,  0.8177984328
27, 0.4141037196, 0.1029784936, 0.3111252278, 0.8556434631, 0.2474649499, 0.4053221317, 0.6527870808,  0.8179640997
28, 0.4126831785, 0.1031172432, 0.3095659345, 0.8557945251, 0.2574559954, 0.4100681004, 0.6675240937,  0.8150518508
29, 0.4101878867, 0.1016877949, 0.3085000902, 0.8571365356, 0.2476948095, 0.4050757828, 0.6527705931,  0.8170572917
30, 0.4141081169, 0.1036834560, 0.3104246616, 0.8550491333, 0.2570596167, 0.4094649922, 0.6665246089,  0.8157435826
31, 0.4091354609, 0.1023755293, 0.3067599326, 0.8569755554, 0.2495810680, 0.3993313256, 0.6489123957,  0.8186296735
32, 0.4118385807, 0.1033620805, 0.3084764987, 0.8559875488, 0.2561680944, 0.4063788142, 0.6625469072,  0.8163335891
33, 0.4072026297, 0.1010559499, 0.3061466783, 0.8573318481, 0.2573660640, 0.4079379893, 0.6653040506,  0.8165108817
34, 0.4048116371, 0.1006022263, 0.3042094082, 0.8585075378, 0.2597962391, 0.4098093197, 0.6696055617,  0.8120320638
35, 0.3989207104, 0.0983582605, 0.3005624533, 0.8598320007, 0.2644010484, 0.4075311252, 0.6719321722,  0.8164614723
36, 0.3961625695, 0.0978584290, 0.2983041376, 0.8618888855, 0.2615048268, 0.4077329579, 0.6692377868,  0.8170543852
37, 0.3973043457, 0.0984224185, 0.2988819242, 0.8613136292, 0.2640848479, 0.4075124860, 0.6715973247,  0.8149181548
38, 0.3952351570, 0.0978222426, 0.2974129140, 0.8622970581, 0.2597483531, 0.4049683753, 0.6647167348,  0.8167114258
39, 0.4070848227, 0.1033593405, 0.3037254870, 0.8569694519, 0.2504937627, 0.3993819129, 0.6498756721,  0.8183942522
40, 0.3975954488, 0.0982932467, 0.2993021995, 0.8614456177, 0.2626180351, 0.4038032322, 0.6664212658,  0.8174380348
41, 0.3924250111, 0.0963842645, 0.2960407466, 0.8633499146, 0.2621466801, 0.4047302774, 0.6668769660,  0.8160778227
42, 0.3971746832, 0.0992070474, 0.2979676366, 0.8613456726, 0.2616998021, 0.4053869702, 0.6670867716,  0.8171968006
43, 0.3897408009, 0.0963809501, 0.2933598518, 0.8630157471, 0.2595942851, 0.4005238244, 0.6601181087,  0.8184756324
44, 0.3961109325, 0.0988227524, 0.2972881794, 0.8614799500, 0.2702976983, 0.4055341283, 0.6758318260,  0.8163074312
45, 0.3900596246, 0.0975579061, 0.2925017208, 0.8620010376, 0.2656935489, 0.4021826415, 0.6678761925,  0.8167550223
